Title,Author,Category
The Marines Take Anbar: The Four Year Fight Against al Qaeda (Leatherneck Classics),Richard H. Shultz Jr.,History & Politics
The Last Ranch (Kerney Family #3),Michael McGarrity,Historical Fiction
"Backlands (Kerney Family, #2)",Michael McGarrity,Contemporary & Literary Fiction
"Hard Country (Kerney Family, #1)",Michael McGarrity,Historical Fiction
Principles: Life and Work,Ray Dalio,Business & Productivity
Training for the Uphill Athlete: A Manual for Mountain Runners and Ski Mountaineers,Steve House,Health & Fitness
Run or Die,Kilian Jornet,Travel & Adventure
Born to run,Christopher McDougall,Travel & Adventure
Above the Clouds: How I Carved My Own Path to the Top of the World,Kilian Jornet,Travel & Adventure
The Race that Changed Running: The Inside Story of UTMB,Doug Mayer,Travel & Adventure
Ocean: Earths Last Wilderness,David Attenborough,Climate & Environment
We Can Do Hard Things: Answers to Life's 20 Questions,Glennon Doyle,Psychology & Self-Help
Who Is Government?: The Untold Story of Public Service,Michael Lewis,History & Politics
Sucker Punch: Essays,Scaachi Koul,Contemporary & Literary Fiction
Raising Hare: A Memoir,Chloe Dalton,Biographies & Memoirs
Dream Count,Chimamanda Ngozi Adichie,Contemporary & Literary Fiction
Broken Country,Clare Leslie Hall,Contemporary & Literary Fiction
Fixing Your Feet: Injury Prevention and Treatment for Athletes,John Vonhof,Health & Fitness
Hardest Geezer: Mind over Miles,Russ Cook,Psychology & Self-Help
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,History & Politics
Sophies World,Jostein Gaarder,Philosophical Fiction
The Earth Transformed: An Untold History,Peter Frankopan,History & Politics
The Dawn of Everything: A New History of Humanity,David Graeber,History & Politics
The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,History & Politics
The Book Thief,Markus Zusak,Historical Fiction
Memoirs of Hadrian,Marguerite Yourcenar,Biographies & Memoirs
Three Kingdoms (4-Volume Boxed Set),Luo Guanzhong,Historical Fiction
Table for Two,Amor Towles,Contemporary & Literary Fiction
Kokoro,Natsume Sseki,Philosophical Fiction
"Japan in Transformation, 1945-2010 (Seminar Studies)",Jeff Kingston,History & Politics
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,Biographies & Memoirs
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,Social Justice & Activism
"The Secret of Secrets (Robert Langdon, #6)",Dan    Brown,Mystery & Thriller
"Origin (Robert Langdon, #5)",Dan    Brown,Mystery & Thriller
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,Mystery & Thriller
"Inferno (Robert Langdon, #4)",Dan    Brown,Mystery & Thriller
"The Three-Body Problem (Remembrance of Earths Past, #1)",Liu Cixin,Science Fiction
The Cry of the Dove,Fadia Faqir,Contemporary & Literary Fiction
Red Sorghum,Mo Yan,Historical Fiction
Read This If You Want to Take Great Photographs,Henry Carroll,Psychology & Self-Help
The Things They Carried,Tim O'Brien,Contemporary & Literary Fiction
How to Read Literature Like a Professor,Thomas C. Foster,Contemporary & Literary Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Psychology & Self-Help
Battle Royale,Koushun Takami,Young Adult
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Biographies & Memoirs
American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,True Crime
Japanese Hiragana & Katakana for Beginners: First Steps to Mastering the Japanese Writing System,Timothy G. Stout,Language & Education
Japanese From Zero! 4: Proven Techniques to Learn Japanese for Students and Professionals (Japanese Edition),George Trombley,Business & Productivity
Japanese From Zero! 3: Proven Techniques to Learn Japanese for Students and Professionals,George Trombley,Business & Productivity
Japanese from Zero! 2: Proven Techniques to Learn Japanese for Students and Professionals (Japanese Edition),George Trombley,Business & Productivity
Japanese from Zero! 1: Proven Techniques to Learn Japanese for Students and Professionals,George Trombley,Business & Productivity
The Martian,Andy Weir,Science Fiction
"Fifth Business (The Deptford Trilogy, #1)",Robertson Davies,Contemporary & Literary Fiction
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,History & Politics
